iter	Passed	Remaining
399	38395	57593
400	38491	57497
401	38650	57495
402	38769	57432
403	38890	57373
404	39036	57350
405	39140	57264
406	39240	57172
407	39356	57106
408	39473	57038
409	39555	56920
410	39640	56808
411	39735	56710
412	39834	56616
413	39932	56523
414	40038	56440
415	40139	56349
416	40241	56261
417	40347	56177
418	40449	56088
419	40552	56001
420	40650	55906
421	40757	55823
422	40852	55725
423	40969	55656
424	41096	55600
425	41199	55513
426	41285	55401
427	41363	55279
428	41444	55162
429	41532	55054
430	41606	54928
431	41682	54804
432	41782	54712
433	41853	54583
434	41929	54460
435	42007	54340
436	42100	54239
437	42182	54125
438	42260	54004
439	42339	53886
440	42434	53788
441	42510	53667
442	42589	53549
443	42674	53439
444	42755	53324
445	42851	53228
446	42934	53116
447	43016	53002
448	43100	52891
449	43181	52777
450	43260	52661
451	43345	52551
452	43421	52431
453	43506	52322
454	43587	52209
455	43666	52093
456	43759	51994
457	43842	51883
458	43936	51785
459	44031	51688
460	44117	51581
461	44210	51482
462	44445	51549
463	44603	51524
464	44709	51440
465	44783	51318
466	44862	51202
467	44941	51087
468	45013	50964
469	45094	50851
470	45172	50735
471	45265	50635
472	45352	50530
473	45440	50425
474	45516	50308
475	45587	50184
476	45662	50065
477	45739	49949
478	45816	49833
479	45892	49717
480	45968	49600
481	46039	49478
482	46111	49357
483	46185	49239
484	46258	49119
485	46328	48997
486	46415	48893
487	46497	48784
488	46578	48673
489	46655	48559
490	46735	48448
491	46806	48328
492	46888	48219
493	46966	48107
494	47044	47994
495	47121	47881
496	47211	47781
497	47295	47675
498	47372	47562
499	47452	47452
500	47533	47343
501	47619	47240
502	47693	47124
503	47783	47025
504	47862	46914
505	47933	46796
506	48013	46687
507	48087	46572
508	48166	46463
509	48240	46349
510	48315	46234
511	48391	46123
512	48456	46000
513	48540	45895
514	48618	45786
515	48692	45672
516	48786	45578
517	48953	45550
518	49098	45503
519	49233	45446
520	49348	45370
521	49457	45288
522	49578	45217
523	49675	45124
524	49773	45033
525	49865	44936
526	49944	44826
527	50018	44713
528	50138	44641
529	50213	44529
530	50322	44446
531	50439	44371
532	50562	44301
533	50673	44221
534	50735	44097
535	50823	43996
536	50917	43901
537	50994	43790
538	51064	43674
539	51144	43567
540	51212	43450
541	51285	43336
542	51380	43243
543	51473	43147
544	51554	43040
545	51632	42932
546	51731	42841
547	51832	42752
548	51909	42643
549	51979	42529
550	52042	42408
551	52106	42289
552	52170	42170
553	52232	42049
554	52305	41938
555	52432	41870
556	52578	41817
557	52736	41773
558	52884	41720
559	52971	41620
560	53073	41531
561	53178	41445
562	53273	41351
